Busca;Posição;Valor_Pesquisado;Tempo_Resposta
Busca_Sequencial; 63; 321; 0.003000
Busca_Sequencial_Ordenado; 63; 321; 0.002000
Busca_Binaria; 63; 321; 0.002000
Jump_Search; 63; 321; 0.002000
Busca_Sequencial; -1; 593; 0.008000
Busca_Sequencial_Ordenado; -1; 593; 0.003000
Busca_Binaria; -1; 593; 0.001000
Jump_Search; -1; 593; 0.001000
Busca_Sequencial; -1; 218; 0.007000
Busca_Sequencial_Ordenado; -1; 218; 0.002000
Busca_Binaria; -1; 218; 0.001000
Jump_Search; -1; 218; 0.002000
Busca_Sequencial; -1; 539; 0.007000
Busca_Sequencial_Ordenado; -1; 539; 0.002000
Busca_Binaria; -1; 539; 0.002000
Jump_Search; -1; 539; 0.002000
Busca_Sequencial; -1; 1494; 0.011000
Busca_Sequencial_Ordenado; -1; 1494; 0.003000
Busca_Binaria; -1; 1494; 0.001000
Jump_Search; -1; 1494; 0.002000
Busca_Sequencial; -1; 1910; 0.007000
Busca_Sequencial_Ordenado; -1; 1910; 0.004000
Busca_Binaria; -1; 1910; 0.002000
Jump_Search; -1; 1910; 0.002000
Busca_Sequencial; -1; 230; 0.007000
Busca_Sequencial_Ordenado; -1; 230; 0.001000
Busca_Binaria; -1; 230; 0.002000
Jump_Search; -1; 230; 0.002000
Busca_Sequencial; -1; 67; 0.008000
Busca_Sequencial_Ordenado; -1; 67; 0.001000
Busca_Binaria; -1; 67; 0.001000
Jump_Search; -1; 67; 0.002000
Busca_Sequencial; -1; 1328; 0.009000
Busca_Sequencial_Ordenado; -1; 1328; 0.003000
Busca_Binaria; -1; 1328; 0.002000
Jump_Search; -1; 1328; 0.002000
Busca_Sequencial; 4; 22; 0.001000
Busca_Sequencial_Ordenado; 4; 22; 0.002000
Busca_Binaria; 4; 22; 0.002000
Jump_Search; 4; 22; 0.002000
Busca_Sequencial; -1; 1056; 0.007000
Busca_Sequencial_Ordenado; -1; 1056; 0.002000
Busca_Binaria; -1; 1056; 0.001000
Jump_Search; -1; 1056; 0.002000
Busca_Sequencial; -1; 1104; 0.008000
Busca_Sequencial_Ordenado; -1; 1104; 0.003000
Busca_Binaria; -1; 1104; 0.001000
Jump_Search; -1; 1104; 0.002000
Busca_Sequencial; -1; 1730; 0.007000
Busca_Sequencial_Ordenado; -1; 1730; 0.004000
Busca_Binaria; -1; 1730; 0.002000
Jump_Search; -1; 1730; 0.002000
Busca_Sequencial; -1; 958; 0.008000
Busca_Sequencial_Ordenado; -1; 958; 0.004000
Busca_Binaria; -1; 958; 0.001000
Jump_Search; -1; 958; 0.002000
Busca_Sequencial; -1; 1835; 0.007000
Busca_Sequencial_Ordenado; -1; 1835; 0.004000
Busca_Binaria; -1; 1835; 0.002000
Jump_Search; -1; 1835; 0.001000
Busca_Sequencial; 44; 226; 0.002000
Busca_Sequencial_Ordenado; 44; 226; 0.002000
Busca_Binaria; 44; 226; 0.001000
Jump_Search; 44; 226; 0.002000
Busca_Sequencial; -1; 86; 0.007000
Busca_Sequencial_Ordenado; -1; 86; 0.001000
Busca_Binaria; -1; 86; 0.001000
Jump_Search; -1; 86; 0.002000
Busca_Sequencial; -1; 1627; 0.008000
Busca_Sequencial_Ordenado; -1; 1627; 0.003000
Busca_Binaria; -1; 1627; 0.002000
Jump_Search; -1; 1627; 0.002000
Busca_Sequencial; 102; 503; 0.001000
Busca_Sequencial_Ordenado; 102; 503; 0.002000
Busca_Binaria; 102; 503; 0.001000
Jump_Search; 102; 503; 0.002000
Busca_Sequencial; 243; 1171; 0.003000
Busca_Sequencial_Ordenado; 243; 1171; 0.003000
Busca_Binaria; 243; 1171; 0.001000
Jump_Search; 243; 1171; 0.002000
Busca_Sequencial; -1; 715; 0.007000
Busca_Sequencial_Ordenado; -1; 715; 0.002000
Busca_Binaria; -1; 715; 0.002000
Jump_Search; -1; 715; 0.001000
Busca_Sequencial; 113; 526; 0.002000
Busca_Sequencial_Ordenado; 113; 526; 0.002000
Busca_Binaria; 113; 526; 0.001000
Jump_Search; 113; 526; 0.002000
Busca_Sequencial; -1; 1762; 0.007000
Busca_Sequencial_Ordenado; -1; 1762; 0.004000
Busca_Binaria; -1; 1762; 0.001000
Jump_Search; -1; 1762; 0.002000
Busca_Sequencial; -1; 88; 0.007000
Busca_Sequencial_Ordenado; -1; 88; 0.001000
Busca_Binaria; -1; 88; 0.002000
Jump_Search; -1; 88; 0.001000
Busca_Sequencial; -1; 1311; 0.008000
Busca_Sequencial_Ordenado; -1; 1311; 0.004000
Busca_Binaria; -1; 1311; 0.001000
Jump_Search; -1; 1311; 0.002000
Busca_Sequencial; -1; 42; 0.007000
Busca_Sequencial_Ordenado; -1; 42; 0.001000
Busca_Binaria; -1; 42; 0.002000
Jump_Search; -1; 42; 0.001000
Busca_Sequencial; 178; 846; 0.003000
Busca_Sequencial_Ordenado; 178; 846; 0.004000
Busca_Binaria; 178; 846; 0.001000
Jump_Search; 178; 846; 0.002000
Busca_Sequencial; -1; 380; 0.007000
Busca_Sequencial_Ordenado; -1; 380; 0.002000
Busca_Binaria; -1; 380; 0.002000
Jump_Search; -1; 380; 0.002000
Busca_Sequencial; -1; 370; 0.008000
Busca_Sequencial_Ordenado; -1; 370; 0.001000
Busca_Binaria; -1; 370; 0.001000
Jump_Search; -1; 370; 0.002000
Busca_Sequencial; -1; 1420; 0.008000
Busca_Sequencial_Ordenado; -1; 1420; 0.003000
Busca_Binaria; -1; 1420; 0.001000
Jump_Search; -1; 1420; 0.002000
Busca_Sequencial; 335; 1613; 0.003000
Busca_Sequencial_Ordenado; 335; 1613; 0.004000
Busca_Binaria; 335; 1613; 0.001000
Jump_Search; 335; 1613; 0.002000
Busca_Sequencial; 148; 692; 0.002000
Busca_Sequencial_Ordenado; 148; 692; 0.002000
Busca_Binaria; 148; 692; 0.002000
Jump_Search; 148; 692; 0.002000
Busca_Sequencial; -1; 13; 0.008000
Busca_Sequencial_Ordenado; -1; 13; 0.002000
Busca_Binaria; -1; 13; 0.001000
Jump_Search; -1; 13; 0.002000
Busca_Sequencial; -1; 183; 0.007000
Busca_Sequencial_Ordenado; -1; 183; 0.001000
Busca_Binaria; -1; 183; 0.002000
Jump_Search; -1; 183; 0.001000
Busca_Sequencial; 329; 1583; 0.004000
Busca_Sequencial_Ordenado; 329; 1583; 0.004000
Busca_Binaria; 329; 1583; 0.002000
Jump_Search; 329; 1583; 0.002000
Busca_Sequencial; -1; 1860; 0.007000
Busca_Sequencial_Ordenado; -1; 1860; 0.004000
Busca_Binaria; -1; 1860; 0.002000
Jump_Search; -1; 1860; 0.002000
Busca_Sequencial; -1; 446; 0.007000
Busca_Sequencial_Ordenado; -1; 446; 0.002000
Busca_Binaria; -1; 446; 0.001000
Jump_Search; -1; 446; 0.002000
Busca_Sequencial; -1; 165; 0.007000
Busca_Sequencial_Ordenado; -1; 165; 0.002000
Busca_Binaria; -1; 165; 0.001000
Jump_Search; -1; 165; 0.002000
Busca_Sequencial; -1; 1927; 0.007000
Busca_Sequencial_Ordenado; -1; 1927; 0.004000
Busca_Binaria; -1; 1927; 0.001000
Jump_Search; -1; 1927; 0.002000
Busca_Sequencial; -1; 126; 0.007000
Busca_Sequencial_Ordenado; -1; 126; 0.002000
Busca_Binaria; -1; 126; 0.002000
Jump_Search; -1; 126; 0.002000
Busca_Sequencial; -1; 539; 0.008000
Busca_Sequencial_Ordenado; -1; 539; 0.002000
Busca_Binaria; -1; 539; 0.001000
Jump_Search; -1; 539; 0.001000
Busca_Sequencial; -1; 1335; 0.008000
Busca_Sequencial_Ordenado; -1; 1335; 0.003000
Busca_Binaria; -1; 1335; 0.002000
Jump_Search; -1; 1335; 0.002000
Busca_Sequencial; -1; 1230; 0.008000
Busca_Sequencial_Ordenado; -1; 1230; 0.004000
Busca_Binaria; -1; 1230; 0.002000
Jump_Search; -1; 1230; 0.002000
Busca_Sequencial; -1; 269; 0.008000
Busca_Sequencial_Ordenado; -1; 269; 0.001000
Busca_Binaria; -1; 269; 0.002000
Jump_Search; -1; 269; 0.001000
Busca_Sequencial; -1; 293; 0.008000
Busca_Sequencial_Ordenado; -1; 293; 0.001000
Busca_Binaria; -1; 293; 0.002000
Jump_Search; -1; 293; 0.005000
Busca_Sequencial; -1; 1417; 0.008000
Busca_Sequencial_Ordenado; -1; 1417; 0.004000
Busca_Binaria; -1; 1417; 0.001000
Jump_Search; -1; 1417; 0.002000
Busca_Sequencial; -1; 496; 0.007000
Busca_Sequencial_Ordenado; -1; 496; 0.002000
Busca_Binaria; -1; 496; 0.002000
Jump_Search; -1; 496; 0.001000
Busca_Sequencial; -1; 379; 0.007000
Busca_Sequencial_Ordenado; -1; 379; 0.002000
Busca_Binaria; -1; 379; 0.002000
Jump_Search; -1; 379; 0.002000
Busca_Sequencial; -1; 1396; 0.009000
Busca_Sequencial_Ordenado; -1; 1396; 0.003000
Busca_Binaria; -1; 1396; 0.001000
Jump_Search; -1; 1396; 0.002000
Busca_Sequencial; -1; 999; 0.007000
Busca_Sequencial_Ordenado; -1; 999; 0.002000
Busca_Binaria; -1; 999; 0.002000
Jump_Search; -1; 999; 0.002000
Busca_Sequencial; -1; 1902; 0.009000
Busca_Sequencial_Ordenado; -1; 1902; 0.005000
Busca_Binaria; -1; 1902; 0.002000
Jump_Search; -1; 1902; 0.003000
Busca_Sequencial; -1; 111; 0.007000
Busca_Sequencial_Ordenado; -1; 111; 0.002000
Busca_Binaria; -1; 111; 0.001000
Jump_Search; -1; 111; 0.001000
Busca_Sequencial; -1; 1877; 0.007000
Busca_Sequencial_Ordenado; -1; 1877; 0.005000
Busca_Binaria; -1; 1877; 0.002000
Jump_Search; -1; 1877; 0.002000
Busca_Sequencial; -1; 1664; 0.009000
Busca_Sequencial_Ordenado; -1; 1664; 0.004000
Busca_Binaria; -1; 1664; 0.002000
Jump_Search; -1; 1664; 0.002000
Busca_Sequencial; 118; 551; 0.002000
Busca_Sequencial_Ordenado; 118; 551; 0.002000
Busca_Binaria; 118; 551; 0.002000
Jump_Search; 118; 551; 0.001000
Busca_Sequencial; -1; 1188; 0.008000
Busca_Sequencial_Ordenado; -1; 1188; 0.003000
Busca_Binaria; -1; 1188; 0.002000
Jump_Search; -1; 1188; 0.002000
Busca_Sequencial; -1; 1706; 0.007000
Busca_Sequencial_Ordenado; -1; 1706; 0.004000
Busca_Binaria; -1; 1706; 0.002000
Jump_Search; -1; 1706; 0.002000
Busca_Sequencial; -1; 1398; 0.007000
Busca_Sequencial_Ordenado; -1; 1398; 0.003000
Busca_Binaria; -1; 1398; 0.002000
Jump_Search; -1; 1398; 0.002000
Busca_Sequencial; -1; 1921; 0.008000
Busca_Sequencial_Ordenado; -1; 1921; 0.004000
Busca_Binaria; -1; 1921; 0.002000
Jump_Search; -1; 1921; 0.001000
Busca_Sequencial; 15; 77; 0.002000
Busca_Sequencial_Ordenado; 15; 77; 0.001000
Busca_Binaria; 15; 77; 0.002000
Jump_Search; 15; 77; 0.002000
Busca_Sequencial; -1; 818; 0.008000
Busca_Sequencial_Ordenado; -1; 818; 0.002000
Busca_Binaria; -1; 818; 0.002000
Jump_Search; -1; 818; 0.001000
Busca_Sequencial; -1; 1886; 0.008000
Busca_Sequencial_Ordenado; -1; 1886; 0.004000
Busca_Binaria; -1; 1886; 0.002000
Jump_Search; -1; 1886; 0.002000
Busca_Sequencial; 230; 1121; 0.003000
Busca_Sequencial_Ordenado; 230; 1121; 0.003000
Busca_Binaria; 230; 1121; 0.001000
Jump_Search; 230; 1121; 0.002000
Busca_Sequencial; -1; 1184; 0.007000
Busca_Sequencial_Ordenado; -1; 1184; 0.003000
Busca_Binaria; -1; 1184; 0.001000
Jump_Search; -1; 1184; 0.002000
Busca_Sequencial; -1; 69; 0.007000
Busca_Sequencial_Ordenado; -1; 69; 0.001000
Busca_Binaria; -1; 69; 0.002000
Jump_Search; -1; 69; 0.001000
Busca_Sequencial; -1; 704; 0.007000
Busca_Sequencial_Ordenado; -1; 704; 0.002000
Busca_Binaria; -1; 704; 0.002000
Jump_Search; -1; 704; 0.002000
Busca_Sequencial; -1; 1044; 0.007000
Busca_Sequencial_Ordenado; -1; 1044; 0.003000
Busca_Binaria; -1; 1044; 0.001000
Jump_Search; -1; 1044; 0.002000
Busca_Sequencial; -1; 867; 0.007000
Busca_Sequencial_Ordenado; -1; 867; 0.002000
Busca_Binaria; -1; 867; 0.002000
Jump_Search; -1; 867; 0.002000
Busca_Sequencial; -1; 869; 0.008000
Busca_Sequencial_Ordenado; -1; 869; 0.003000
Busca_Binaria; -1; 869; 0.001000
Jump_Search; -1; 869; 0.002000
Busca_Sequencial; -1; 1323; 0.007000
Busca_Sequencial_Ordenado; -1; 1323; 0.003000
Busca_Binaria; -1; 1323; 0.001000
Jump_Search; -1; 1323; 0.002000
Busca_Sequencial; -1; 993; 0.007000
Busca_Sequencial_Ordenado; -1; 993; 0.003000
Busca_Binaria; -1; 993; 0.001000
Jump_Search; -1; 993; 0.002000
Busca_Sequencial; -1; 1408; 0.007000
Busca_Sequencial_Ordenado; -1; 1408; 0.003000
Busca_Binaria; -1; 1408; 0.002000
Jump_Search; -1; 1408; 0.002000
Busca_Sequencial; 138; 659; 0.003000
Busca_Sequencial_Ordenado; 138; 659; 0.002000
Busca_Binaria; 138; 659; 0.002000
Jump_Search; 138; 659; 0.002000
Busca_Sequencial; -1; 223; 0.007000
Busca_Sequencial_Ordenado; -1; 223; 0.002000
Busca_Binaria; -1; 223; 0.002000
Jump_Search; -1; 223; 0.002000
Busca_Sequencial; 6; 29; 0.002000
Busca_Sequencial_Ordenado; 6; 29; 0.002000
Busca_Binaria; 6; 29; 0.005000
Jump_Search; 6; 29; 0.002000
Busca_Sequencial; 267; 1304; 0.003000
Busca_Sequencial_Ordenado; 267; 1304; 0.003000
Busca_Binaria; 267; 1304; 0.002000
Jump_Search; 267; 1304; 0.002000
Busca_Sequencial; -1; 1992; 0.008000
Busca_Sequencial_Ordenado; -1; 1992; 0.004000
Busca_Binaria; -1; 1992; 0.001000
Jump_Search; -1; 1992; 0.002000
Busca_Sequencial; -1; 525; 0.007000
Busca_Sequencial_Ordenado; -1; 525; 0.002000
Busca_Binaria; -1; 525; 0.002000
Jump_Search; -1; 525; 0.001000
Busca_Sequencial; -1; 36; 0.008000
Busca_Sequencial_Ordenado; -1; 36; 0.002000
Busca_Binaria; -1; 36; 0.001000
Jump_Search; -1; 36; 0.002000
Busca_Sequencial; -1; 1388; 0.007000
Busca_Sequencial_Ordenado; -1; 1388; 0.003000
Busca_Binaria; -1; 1388; 0.002000
Jump_Search; -1; 1388; 0.002000
Busca_Sequencial; -1; 1876; 0.007000
Busca_Sequencial_Ordenado; -1; 1876; 0.004000
Busca_Binaria; -1; 1876; 0.001000
Jump_Search; -1; 1876; 0.002000
Busca_Sequencial; -1; 1938; 0.007000
Busca_Sequencial_Ordenado; -1; 1938; 0.004000
Busca_Binaria; -1; 1938; 0.002000
Jump_Search; -1; 1938; 0.001000
Busca_Sequencial; -1; 1852; 0.007000
Busca_Sequencial_Ordenado; -1; 1852; 0.004000
Busca_Binaria; -1; 1852; 0.002000
Jump_Search; -1; 1852; 0.002000
Busca_Sequencial; 23; 106; 0.002000
Busca_Sequencial_Ordenado; 23; 106; 0.001000
Busca_Binaria; 23; 106; 0.002000
Jump_Search; 23; 106; 0.001000
Busca_Sequencial; -1; 1603; 0.008000
Busca_Sequencial_Ordenado; -1; 1603; 0.003000
Busca_Binaria; -1; 1603; 0.002000
Jump_Search; -1; 1603; 0.002000
Busca_Sequencial; 78; 403; 0.002000
Busca_Sequencial_Ordenado; 78; 403; 0.002000
Busca_Binaria; 78; 403; 0.001000
Jump_Search; 78; 403; 0.002000
Busca_Sequencial; -1; 1294; 0.007000
Busca_Sequencial_Ordenado; -1; 1294; 0.003000
Busca_Binaria; -1; 1294; 0.001000
Jump_Search; -1; 1294; 0.002000
Busca_Sequencial; -1; 1661; 0.008000
Busca_Sequencial_Ordenado; -1; 1661; 0.003000
Busca_Binaria; -1; 1661; 0.002000
Jump_Search; -1; 1661; 0.002000
Busca_Sequencial; 35; 153; 0.002000
Busca_Sequencial_Ordenado; 35; 153; 0.002000
Busca_Binaria; 35; 153; 0.002000
Jump_Search; 35; 153; 0.002000
Busca_Sequencial; -1; 1567; 0.007000
Busca_Sequencial_Ordenado; -1; 1567; 0.004000
Busca_Binaria; -1; 1567; 0.001000
Jump_Search; -1; 1567; 0.002000
Busca_Sequencial; -1; 90; 0.007000
Busca_Sequencial_Ordenado; -1; 90; 0.001000
Busca_Binaria; -1; 90; 0.002000
Jump_Search; -1; 90; 0.001000
Busca_Sequencial; -1; 1324; 0.066000
Busca_Sequencial_Ordenado; -1; 1324; 0.004000
Busca_Binaria; -1; 1324; 0.001000
Jump_Search; -1; 1324; 0.002000
Busca_Sequencial; -1; 1453; 0.007000
Busca_Sequencial_Ordenado; -1; 1453; 0.003000
Busca_Binaria; -1; 1453; 0.002000
Jump_Search; -1; 1453; 0.002000
Busca_Sequencial; -1; 1211; 0.008000
Busca_Sequencial_Ordenado; -1; 1211; 0.003000
Busca_Binaria; -1; 1211; 0.002000
Jump_Search; -1; 1211; 0.002000
Busca_Sequencial; 104; 508; 0.002000
Busca_Sequencial_Ordenado; 104; 508; 0.002000
Busca_Binaria; 104; 508; 0.002000
Jump_Search; 104; 508; 0.001000
Busca_Sequencial; -1; 1875; 0.008000
Busca_Sequencial_Ordenado; -1; 1875; 0.004000
Busca_Binaria; -1; 1875; 0.001000
Jump_Search; -1; 1875; 0.002000
Busca_Sequencial; -1; 267; 0.007000
Busca_Sequencial_Ordenado; -1; 267; 0.001000
Busca_Binaria; -1; 267; 0.002000
Jump_Search; -1; 267; 0.002000
Busca_Sequencial; -1; 1904; 0.008000
Busca_Sequencial_Ordenado; -1; 1904; 0.004000
Busca_Binaria; -1; 1904; 0.002000
Jump_Search; -1; 1904; 0.002000
Busca_Sequencial; -1; 742; 0.008000
Busca_Sequencial_Ordenado; -1; 742; 0.003000
Busca_Binaria; -1; 742; 0.001000
Jump_Search; -1; 742; 0.002000
Busca_Sequencial; -1; 1488; 0.007000
Busca_Sequencial_Ordenado; -1; 1488; 0.003000
Busca_Binaria; -1; 1488; 0.002000
Jump_Search; -1; 1488; 0.001000
